0	0	47.0371	1199	25.3796	
0	1	53.1895	1210	22.6804	
1	0	48.7657	1207	24.616	
1	1	48.0661	1216	25.1435	
2	0	45.447	1222	26.6311	
2	1	47.6284	1223	25.5658	
3	0	46.9282	1226	25.9625	
3	1	47.3954	1224	25.6858	
4	0	35.6269	1302	35.4084	
4	1	36.3812	1300	34.6617	
5	0	29.5878	1341	44.7009	
5	1	32.1057	1344	41.3384	
6	0	27.7562	1349	48.4136	
6	1	29.902	1351	45.0487	
7	0	25.7601	1382	53.2184	
7	1	26.7736	1385	51.1843	
8	0	21.596	1400	64.6141	
8	1	23.6367	1394	58.9709	
9	0	8.56873	892	133.927	
9	1	8.74207	872	130.147	
10	0	4.90045	895	183.37	
10	1	5.67973	875	154.482	
11	0	6.74824	980	139.312	
11	1	7.20347	948	127.401	
12	0	8.47021	1016	117.925	
12	1	8.08481	985	119.286	
13	0	9.08883	1044	113.678	
13	1	8.9802	1018	111.618	
14	0	7.62444	1436	202.698	
14	1	6.94402	1436	269.178	

