0	0.09	75000	IS	3	3
0.09	0.37	110000	IS	3	3
0.37	0.54	169000	IS	3	3
0.54	0.75	176000	IS	3	3
0.75	1.22	156000	IS	3	3
1.22	2.26	169000	IS	3	3
2.26	2.8	93000	IS	3	3
2.8	3.3	152000	IS	3	3
3.3	3.69	172000	IS	2	2
3.69	4.5	130000	IS	2	2
4.5	4.79	138000	IS	2	2
4.79	5.19	153000	IS	2	2
5.19	5.89	133000	IS	2	2
5.89	6.34	148000	IS	2	2
6.34	6.72	144000	IS	2	2
6.72	7.2	154000	IS	2	2
7.2	7.69	145000	IS	2	2
7.69	8.98	152000	IS	2	2
8.98	9.59	151000	IS	2	2
9.59	9.96	161000	IS	2	2
9.96	10.56	147000	IS	2	2
10.56	10.93	177000	IS	2	2
10.93	11.69	102000	IS	4	4
11.69	12.44	195000	IS	4	4
12.44	12.99	177000	IS	4	3
12.99	13.42	192000	IS	4	3
13.42	13.78	141000	IS	3	3
13.78	14.83	158000	IS	3	3
14.83	15.76	130000	IS	3	3
15.76	17.05	185000	IS	3	3
17.05	17.62	171000	IS	3	3
17.62	17.78	185000	IS	3	3
17.78	18.6	161000	IS	3	3
18.6	19.51	193000	IS	3	3
19.51	20.27	168000	IS	3	3
20.27	21.28	132000	IS	3	3
21.28	22.32	164000	IS	3	3
22.32	23.47	152000	IS	3	3
23.47	23.88	112000	IS	3	3
23.88	24.09	124000	IS	3	3
24.09	24.28	116000	IS	3	3
24.28	24.83	107000	IS	3	3
24.83	26.31	128000	IS	3	3
26.31	27.4	91000	IS	3	3
27.4	29.88	119000	IS	3	3
29.88	30.21	50000	IS	3	3
30.21	30.32	35000	IS	3	3
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
